word	freq_sdsm	freq_vmro	diff
животен	0.760417722802	0.760574438156	-0.000156715353909
кредитен	0.270370745885	0.269881252249	0.000489493636285
разговор	0.0168981716178	0.0163564395302	0.000541732087588
периодичен	0.0168981716178	0.0163564395302	0.000541732087588
пиперево	0.0168981716178	0.0163564395302	0.000541732087588
регистрацијата	0.0168981716178	0.0163564395302	0.000541732087588
зголемило	0.0168981716178	0.0163564395302	0.000541732087588
соживот	0.0168981716178	0.0163564395302	0.000541732087588
пискупштина	0.0168981716178	0.0163564395302	0.000541732087588
побарувачка	0.0168981716178	0.0163564395302	0.000541732087588
повлече	0.0168981716178	0.0163564395302	0.000541732087588
зборува	0.0168981716178	0.0163564395302	0.000541732087588
збогатува	0.0168981716178	0.0163564395302	0.000541732087588
поврзу	0.0168981716178	0.0163564395302	0.000541732087588
сок	0.0168981716178	0.0163564395302	0.000541732087588
започнатите	0.0168981716178	0.0163564395302	0.000541732087588
подигнувањето	0.0168981716178	0.0163564395302	0.000541732087588
работодава	0.0168981716178	0.0163564395302	0.000541732087588
софија	0.0168981716178	0.0163564395302	0.000541732087588
позиционирање	0.0168981716178	0.0163564395302	0.000541732087588
задолженост	0.0168981716178	0.0163564395302	0.000541732087588
завршу	0.0168981716178	0.0163564395302	0.000541732087588
завр	0.0168981716178	0.0163564395302	0.000541732087588
женско	0.0168981716178	0.0163564395302	0.000541732087588
регистрираните	0.0168981716178	0.0163564395302	0.000541732087588
парт	0.0168981716178	0.0163564395302	0.000541732087588
падне	0.0168981716178	0.0163564395302	0.000541732087588
земањето	0.0168981716178	0.0163564395302	0.000541732087588
инвеститорот	0.0168981716178	0.0163564395302	0.000541732087588
инвалидно	0.0168981716178	0.0163564395302	0.000541732087588
имунизација	0.0168981716178	0.0163564395302	0.000541732087588
изработува	0.0168981716178	0.0163564395302	0.000541732087588
изминатата	0.0168981716178	0.0163564395302	0.000541732087588
изгра	0.0168981716178	0.0163564395302	0.000541732087588
извршу	0.0168981716178	0.0163564395302	0.000541732087588
остануваме	0.0168981716178	0.0163564395302	0.000541732087588
оствару	0.0168981716178	0.0163564395302	0.000541732087588
отвореност	0.0168981716178	0.0163564395302	0.000541732087588
отишани	0.0168981716178	0.0163564395302	0.000541732087588
зување	0.0168981716178	0.0163564395302	0.000541732087588
следствено	0.0168981716178	0.0163564395302	0.000541732087588
отпадок	0.0168981716178	0.0163564395302	0.000541732087588
отпо	0.0168981716178	0.0163564395302	0.000541732087588
современо	0.0168981716178	0.0163564395302	0.000541732087588
зот	0.0168981716178	0.0163564395302	0.000541732087588
зонски	0.0168981716178	0.0163564395302	0.000541732087588
отсликува	0.0168981716178	0.0163564395302	0.000541732087588
содржински	0.0168981716178	0.0163564395302	0.000541732087588
регу	0.0168981716178	0.0163564395302	0.000541732087588
жариште	0.0168981716178	0.0163564395302	0.000541732087588
регис	0.0168981716178	0.0163564395302	0.000541732087588
спасителен	0.0168981716178	0.0163564395302	0.000541732087588
етика	0.0168981716178	0.0163564395302	0.000541732087588
долгаш	0.0168981716178	0.0163564395302	0.000541732087588
договорен	0.0168981716178	0.0163564395302	0.000541732087588
дово	0.0168981716178	0.0163564395302	0.000541732087588
добивањето	0.0168981716178	0.0163564395302	0.000541732087588
длабок	0.0168981716178	0.0163564395302	0.000541732087588
дипломирање	0.0168981716178	0.0163564395302	0.000541732087588
дија	0.0168981716178	0.0163564395302	0.000541732087588
дигнување	0.0168981716178	0.0163564395302	0.000541732087588
диверзификација	0.0168981716178	0.0163564395302	0.000541732087588
спроведу	0.0168981716178	0.0163564395302	0.000541732087588
дефини	0.0168981716178	0.0163564395302	0.000541732087588
детектирање	0.0168981716178	0.0163564395302	0.000541732087588
дериват	0.0168981716178	0.0163564395302	0.000541732087588
распоредува	0.0168981716178	0.0163564395302	0.000541732087588
стабилно	0.0168981716178	0.0163564395302	0.000541732087588
дејствува	0.0168981716178	0.0163564395302	0.000541732087588
деец	0.0168981716178	0.0163564395302	0.000541732087588
деветгодишното	0.0168981716178	0.0163564395302	0.000541732087588
двориште	0.0168981716178	0.0163564395302	0.000541732087588
даноч	0.0168981716178	0.0163564395302	0.000541732087588
далеку	0.0168981716178	0.0163564395302	0.000541732087588
должниците	0.0168981716178	0.0163564395302	0.000541732087588
домаш	0.0168981716178	0.0163564395302	0.000541732087588
привлеку	0.0168981716178	0.0163564395302	0.000541732087588
донирање	0.0168981716178	0.0163564395302	0.000541732087588
појдовен	0.0168981716178	0.0163564395302	0.000541732087588
полугодие	0.0168981716178	0.0163564395302	0.000541732087588
попла	0.0168981716178	0.0163564395302	0.000541732087588
специја	0.0168981716178	0.0163564395302	0.000541732087588
популарен	0.0168981716178	0.0163564395302	0.000541732087588
послужи	0.0168981716178	0.0163564395302	0.000541732087588
евн	0.0168981716178	0.0163564395302	0.000541732087588
поче	0.0168981716178	0.0163564395302	0.000541732087588
специфичност	0.0168981716178	0.0163564395302	0.000541732087588
ебрд	0.0168981716178	0.0163564395302	0.000541732087588
инвестиционите	0.0168981716178	0.0163564395302	0.000541732087588
растојание	0.0168981716178	0.0163564395302	0.000541732087588
достоинствено	0.0168981716178	0.0163564395302	0.000541732087588
предупредување	0.0168981716178	0.0163564395302	0.000541732087588
достигнувањата	0.0168981716178	0.0163564395302	0.000541732087588
достигнува	0.0168981716178	0.0163564395302	0.000541732087588
споредено	0.0168981716178	0.0163564395302	0.000541732087588
доследен	0.0168981716178	0.0163564395302	0.000541732087588
прецизира	0.0168981716178	0.0163564395302	0.000541732087588
